4,result_from_first_page_text_d4_arxiv_1608.00272.txt,Modeling Context in Referring Expressions,Licheng Yu,"Department of Computer Science, University of North Carolina at Chapel Hill",licheng@cs.unc.edu,TP,TP,TP,TP,1,TP,TP,TP,FP,1,FN,FP,FN,FN,0,TP,TP,TP,TN,1
4,result_from_first_page_text_d4_arxiv_1608.00272.txt,Modeling Context in Referring Expressions,Patrick Poirson,"Department of Computer Science, University of North Carolina at Chapel Hill",poirson@cs.unc.edu,,TP,TP,TP,1,,TP,TP,TP,1,,FN,FN,FN,0,,TP,TP,TN,1
4,result_from_first_page_text_d4_arxiv_1608.00272.txt,Modeling Context in Referring Expressions,Shan Yang,"Department of Computer Science, University of North Carolina at Chapel Hill",alexyang@cs.unc.edu,,TP,TP,TP,1,,TP,TP,FP,1,,FN,FN,FN,0,,TP,TP,TN,1
4,result_from_first_page_text_d4_arxiv_1608.00272.txt,Modeling Context in Referring Expressions,Alexander C. Berg,"Department of Computer Science, University of North Carolina at Chapel Hill",aberg@cs.unc.edu,,TP,TP,TP,1,,TP,TP,TP,1,,FN,FN,FN,0,,TP,TP,TN,1
4,result_from_first_page_text_d4_arxiv_1608.00272.txt,Modeling Context in Referring Expressions,Tamara L. Berg,"Department of Computer Science, University of North Carolina at Chapel Hill",tlberg@cs.unc.edu,,TP,TP,TP,1,,TP,TP,TP,1,,FN,FN,FN,0,,TP,TP,TN,1
5,result_from_first_page_text_d5_arxiv_1612.03651.txt,FASTTEXT.ZIP: COMPRESSING TEXT CLASSIFICATION MODELS,Armand Joulin,Facebook AI Research,ajoulin@fb.com,TP,TP,TP,TP,1,TP,TP,TP,TP,1,FN,FP,FN,FN,0,TP,TP,TP,TP,1
5,result_from_first_page_text_d5_arxiv_1612.03651.txt,FASTTEXT.ZIP: COMPRESSING TEXT CLASSIFICATION MODELS,Edouard Grave,Facebook AI Research,egrave@fb.com,,TP,TP,TP,1,,TP,TP,TP,1,,FN,FN,FN,0,,TP,TP,TP,1
5,result_from_first_page_text_d5_arxiv_1612.03651.txt,FASTTEXT.ZIP: COMPRESSING TEXT CLASSIFICATION MODELS,Piotr Bojanowski,Facebook AI Research,bojanowski@fb.com,,TP,TP,TP,1,,TP,TP,TP,1,,FN,FN,FN,0,,TP,TP,TP,1
5,result_from_first_page_text_d5_arxiv_1612.03651.txt,FASTTEXT.ZIP: COMPRESSING TEXT CLASSIFICATION MODELS,Matthijs Douze,Facebook AI Research,matthijs@fb.com,,TP,TP,TP,1,,TP,TP,TP,1,,FN,FN,FN,0,,TP,TP,TP,1
5,result_from_first_page_text_d5_arxiv_1612.03651.txt,FASTTEXT.ZIP: COMPRESSING TEXT CLASSIFICATION MODELS,Hervé Jégou,Facebook AI Research,rvj@fb.com,,TP,TP,TP,1,,FP,TP,TP,1,,FN,FN,FN,0,,FP,TP,TP,1
5,result_from_first_page_text_d5_arxiv_1612.03651.txt,FASTTEXT.ZIP: COMPRESSING TEXT CLASSIFICATION MODELS,Tomas Mikolov,Facebook AI Research,tmikolov@fb.com,,TP,TP,TP,1,,TP,TP,TP,1,,FN,FN,FN,0,,TP,TP,TP,1
6,result_from_first_page_text_d6_arxiv_1703.07737.txt,In Defense of the Triplet Loss for Person Re-Identification,Alexander Hermans,"Visual Computing Institute, RWTH Aachen University",hermans@vision.rwth-aachen.org,TP,TP,TP,FP,1,TP,TP,TP,FP,1,TP,TP,TP,FP,1,TP,TP,TP,FN,1
6,result_from_first_page_text_d6_arxiv_1703.07737.txt,In Defense of the Triplet Loss for Person Re-Identification,Lucas Beyer,"Visual Computing Institute, RWTH Aachen University",beyer@vision.rwth-aachen.org,,TP,TP,FN,1,,TP,TP,FN,1,,TP,TP,FN,1,,TP,TP,FN,1
6,result_from_first_page_text_d6_arxiv_1703.07737.txt,In Defense of the Triplet Loss for Person Re-Identification,Bastian Leibe,"Visual Computing Institute, RWTH Aachen University",leibe@vision.rwth-aachen.org,,TP,TP,FN,1,,TP,TP,FN,1,,TP,TP,FN,1,,TP,TP,FP,1
8,result_from_first_page_text_d8_arxiv_1705.03551.txt,TriviaQA: A Large Scale Distantly Supervised Challenge Dataset for Reading Comprehension,Mandar Joshi,"Paul G. Allen School of Computer Science & Engineering, University of Washington",mandar90@cs.washington.edu,TP,TP,TP,TP,1,TP,TP,TP,TP,1,TP,TP,TP,TP,1,TP,TP,TP,FN,1
8,result_from_first_page_text_d8_arxiv_1705.03551.txt,TriviaQA: A Large Scale Distantly Supervised Challenge Dataset for Reading Comprehension,Eunsol Choi,"Paul G. Allen School of Computer Science & Engineering, University of Washington",eunsol@cs.washington.edu,,TP,TP,TP,1,,TP,TP,TP,1,,TP,TP,TP,1,,TP,TP,FN,1
8,result_from_first_page_text_d8_arxiv_1705.03551.txt,TriviaQA: A Large Scale Distantly Supervised Challenge Dataset for Reading Comprehension,Daniel S. Weld,"Paul G. Allen School of Computer Science & Engineering, University of Washington",weld@cs.washington.edu,,TP,TP,TP,1,,TP,TP,TP,1,,TP,TP,TP,1,,TP,TP,FN,1
8,result_from_first_page_text_d8_arxiv_1705.03551.txt,TriviaQA: A Large Scale Distantly Supervised Challenge Dataset for Reading Comprehension,Luke Zettlemoyer,"Paul G. Allen School of Computer Science & Engineering, University of Washington; Allen Institute for Artificial Intelligence",lsz@cs.washington.edu,,TP,TP,TP,1,,TP,TP,TP,1,,TP,TP,FP,1,,TP,TP,FN,1
,,,,,,,,,,,,FP,FP,FP,1,,,,,,,,,,
10,result_from_first_page_text_d10_arxiv_1802.06893.txt,Learning Word Vectors for 157 Languages,Edouard Grave,Facebook AI Research,egrave@fb.com,TP,TP,TP,TP,1,TP,TP,TP,FP,1,FN,FP,FN,TP,0,TP,TP,TP,FN,1
10,result_from_first_page_text_d10_arxiv_1802.06893.txt,Learning Word Vectors for 157 Languages,Piotr Bojanowski,Facebook AI Research,bojanowski@fb.com,,TP,TP,TP,1,,TP,TP,FN,1,,FP,FN,TP,0,,TP,TP,FN,1
10,result_from_first_page_text_d10_arxiv_1802.06893.txt,Learning Word Vectors for 157 Languages,Prakhar Gupta,Facebook AI Research; EPFL,prakhar.gupta@epfl.ch,,TP,TP,TP,1,,TP,TP,TP,1,,FP,FN,TP,0,,TP,TP,TP,1
10,result_from_first_page_text_d10_arxiv_1802.06893.txt,Learning Word Vectors for 157 Languages,Armand Joulin,Facebook AI Research,ajoulin@fb.com,,TP,TP,TP,1,,TP,TP,FN,1,,FP,FN,TP,0,,TP,TP,FN,1
10,result_from_first_page_text_d10_arxiv_1802.06893.txt,Learning Word Vectors for 157 Languages,Tomas Mikolov,Facebook AI Research,tmikolov@fb.com,,TP,TP,TP,1,,TP,TP,FN,1,,FP,FN,TP,0,,TP,TP,FN,1
12,result_from_first_page_text_d12_arxiv_1804.06876.txt,Gender Bias in Coreference Resolution: Evaluation and Debiasing Methods,Jieyu Zhao,"University of California, Los Angeles",jyzhao@cs.ucla.edu,TP,TP,TP,TP,1,TP,TP,TP,TP,1,FN,FN,FN,FN,0,TP,TP,TP,TP,1
12,result_from_first_page_text_d12_arxiv_1804.06876.txt,Gender Bias in Coreference Resolution: Evaluation and Debiasing Methods,Tianlu Wang,University of Virginia,tw8bc@virginia.edu,,TP,TP,TP,1,,TP,TP,FP,1,,FN,FN,FN,0,,TP,TP,TP,1
12,result_from_first_page_text_d12_arxiv_1804.06876.txt,Gender Bias in Coreference Resolution: Evaluation and Debiasing Methods,Mark Yatskar,Allen Institute for Artificial Intelligence,marky@allenai.org,,TP,TP,TP,1,,TP,TP,TP,1,,FN,FN,FN,0,,TP,TP,TP,1
12,result_from_first_page_text_d12_arxiv_1804.06876.txt,Gender Bias in Coreference Resolution: Evaluation and Debiasing Methods,Vicente Ordonez,University of Virginia,vicente@virginia.edu,,TP,TP,TP,1,,TP,TP,TP,1,,FN,FN,FN,0,,TP,TP,TP,1
12,result_from_first_page_text_d12_arxiv_1804.06876.txt,Gender Bias in Coreference Resolution: Evaluation and Debiasing Methods,Kai-Wei Chang,"University of California, Los Angeles",kwchang@cs.ucla.edu,,TP,TP,TP,1,,TP,TP,TP,1,,FN,FN,FN,0,,TP,TP,TP,1
14,result_from_first_page_text_d14_arxiv_1809.02789.txt,Can a Suit of Armor Conduct Electricity? A New Dataset for Open Book Question Answering,Todor Mihaylov,"Research Training Group AIPHES; Heidelberg University, Heidelberg, Germany",mihaylov@cl.uni-heidelberg.de,TP,TP,TP,TP,1,FP,TP,TP,TP,1,FN,FP,FN,FN,0,FP,TP,TP,TP,1
14,result_from_first_page_text_d14_arxiv_1809.02789.txt,Can a Suit of Armor Conduct Electricity? A New Dataset for Open Book Question Answering,Peter Clark,"Allen Institute for Artificial Intelligence, Seattle, WA, U.S.A.",peterc@allenai.org,,TP,TP,TP,1,,TP,TP,TP,1,,FP,FN,FN,0,,TP,TP,FN,1
14,result_from_first_page_text_d14_arxiv_1809.02789.txt,Can a Suit of Armor Conduct Electricity? A New Dataset for Open Book Question Answering,Tushar Khot,"Allen Institute for Artificial Intelligence, Seattle, WA, U.S.A.",tushark@allenai.org,,TP,TP,TP,1,,TP,TP,TP,1,,FP,FN,FN,0,,TP,TP,FN,1
14,result_from_first_page_text_d14_arxiv_1809.02789.txt,Can a Suit of Armor Conduct Electricity? A New Dataset for Open Book Question Answering,Ashish Sabharwal,"Allen Institute for Artificial Intelligence, Seattle, WA, U.S.A.",ashishs@allenai.org,,TP,TP,TP,1,,TP,TP,TP,1,,FN,FN,FN,0,,TP,TP,FN,1
15,result_from_first_page_text_d15_arxiv_1810.04805.txt,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,Jacob Devlin,Google AI Language,jacobdevlin@google.com,FN,FN,FN,FN,0,FP,FP,FP,FN,0,TP,TP,TP,TP,1,TP,TP,TP,TP,1
15,result_from_first_page_text_d15_arxiv_1810.04805.txt,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,Ming-Wei Chang,Google AI Language,mingweichang@google.com,,FN,FN,FN,0,,FP,FP,FN,0,,TP,TP,TP,1,,TP,TP,TP,1
15,result_from_first_page_text_d15_arxiv_1810.04805.txt,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,Kenton Lee,Google AI Language,kentonl@google.com,,FN,FN,FN,0,,FP,FP,FN,0,,TP,TP,TP,1,,TP,TP,TP,1
15,result_from_first_page_text_d15_arxiv_1810.04805.txt,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,Kristina Toutanova,Google AI Language,kristout@google.com,,FN,FN,FN,0,,FP,FP,FN,0,,TP,TP,TP,1,,TP,TP,TP,1
16,result_from_first_page_text_d16_arxiv_1810.12440.txt,TallyQA: Answering Complex Counting Questions,Manoj Acharya,"Chester F. Carlson Center for Imaging Science, Rochester Institute of Technology",ma7583@rit.edu,TP,TP,TP,TP,1,TP,TP,TP,TP,1,TP,TP,TP,TP,1,FN,FN,FN,FN,0
16,result_from_first_page_text_d16_arxiv_1810.12440.txt,TallyQA: Answering Complex Counting Questions,Kushal Kafle,"Chester F. Carlson Center for Imaging Science, Rochester Institute of Technology",kk6055@rit.edu,,TP,TP,TP,1,,TP,TP,TP,1,,TP,TP,TP,1,,FN,FN,FN,0
16,result_from_first_page_text_d16_arxiv_1810.12440.txt,TallyQA: Answering Complex Counting Questions,Christopher Kanan,"Chester F. Carlson Center for Imaging Science, Rochester Institute of Technology",kanan@rit.edu,,TP,TP,TP,1,,TP,TP,TP,1,,TP,TP,TP,1,,FN,FN,FN,0
17,result_from_first_page_text_d17_arxiv_1811.00937.txt,COMMONSENSEQA: A Question Answering Challenge Targeting Commonsense Knowledge,Alon Talmor,"School of Computer Science, Tel-Aviv University; Allen Institute for Artificial Intelligence",alontalmor@mail.tau.ac.il,TP,TP,TP,TP,1,FN,FN,FN,FN,0,TP,TP,TP,TP,1,FN,FN,FN,FN,0
17,result_from_first_page_text_d17_arxiv_1811.00937.txt,COMMONSENSEQA: A Question Answering Challenge Targeting Commonsense Knowledge,Jonathan Herzig,"School of Computer Science, Tel-Aviv University",jonathan.herzig@cs.tau.ac.il,,TP,TP,TP,1,,FN,FN,FN,0,,TP,TP,TP,1,,FN,FN,FN,0
17,result_from_first_page_text_d17_arxiv_1811.00937.txt,COMMONSENSEQA: A Question Answering Challenge Targeting Commonsense Knowledge,Nicholas Lourie,Allen Institute for Artificial Intelligence,nicholasl@allenai.org,,TP,TP,TP,1,,FN,FN,FN,0,,TP,TP,TP,1,,FN,FN,FN,0
17,result_from_first_page_text_d17_arxiv_1811.00937.txt,COMMONSENSEQA: A Question Answering Challenge Targeting Commonsense Knowledge,Jonathan Berant,"School of Computer Science, Tel-Aviv University; Allen Institute for Artificial Intelligence",joberant@cs.tau.ac.il,,TP,TP,TP,1,,FN,FN,FN,0,,TP,TP,TP,1,,FN,FN,FN,0
18,result_from_first_page_text_d18_arxiv_1904.09728.txt,SOCIAL IQA: Commonsense Reasoning about Social Interactions,Maarten Sap,"Allen Institute for Artificial Intelligence; Paul G. Allen School of Computer Science & Engineering, University of Washington",msap@cs.washington.edu,TP,TP,TP,TP,1,FN,TP,TP,TP,1,FN,TP,TP,TP,1,TP,TP,TP,FN,1
18,result_from_first_page_text_d18_arxiv_1904.09728.txt,SOCIAL IQA: Commonsense Reasoning about Social Interactions,Hannah Rashkin,"Allen Institute for Artificial Intelligence; Paul G. Allen School of Computer Science & Engineering, University of Washington",hrashkin@cs.washington.edu,,TP,TP,TP,1,,TP,TP,TP,1,,TP,TP,TP,1,,TP,TP,FN,1
18,result_from_first_page_text_d18_arxiv_1904.09728.txt,SOCIAL IQA: Commonsense Reasoning about Social Interactions,Derek Chen,"Paul G. Allen School of Computer Science & Engineering, University of Washington",dchen14@cs.washington.edu,,TP,TP,TP,1,,TP,TP,FN,1,,TP,TP,TP,1,,TP,TP,FN,1
18,result_from_first_page_text_d18_arxiv_1904.09728.txt,SOCIAL IQA: Commonsense Reasoning about Social Interactions,Ronan Le Bras,Allen Institute for Artificial Intelligence,ronanlb@allenai.org,,TP,TP,TP,1,,TP,TP,TP,1,,TP,TP,TP,1,,TP,TP,FN,1
18,result_from_first_page_text_d18_arxiv_1904.09728.txt,SOCIAL IQA: Commonsense Reasoning about Social Interactions,Yejin Choi,"Allen Institute for Artificial Intelligence; Paul G. Allen School of Computer Science & Engineering, University of Washington",yejin@cs.washington.edu,,TP,TP,TP,1,,TP,TP,FN,1,,TP,TP,TP,1,,TP,TP,FN,1
20,result_from_first_page_text_d20_arxiv_1905.10044.txt,BoolQ: Exploring the Surprising Difficulty of Natural Yes/No Questions,Christopher Clark,"Paul G. Allen School of CSE, University of Washington",csquared@cs.uw.edu,TP,TP,TP,TP,1,TP,TP,TP,TP,1,FN,FN,FP,FN,0,FN,FN,FN,FN,0
20,result_from_first_page_text_d20_arxiv_1905.10044.txt,BoolQ: Exploring the Surprising Difficulty of Natural Yes/No Questions,Kenton Lee,Google AI Language,kentonl@google.com,,TP,TP,TP,1,,TP,TP,TP,1,,FN,FN,FN,0,,FN,FN,FN,0
20,result_from_first_page_text_d20_arxiv_1905.10044.txt,BoolQ: Exploring the Surprising Difficulty of Natural Yes/No Questions,Ming-Wei Chang,Google AI Language,mingweichang@google.com,,TP,TP,TP,1,,TP,TP,TP,1,,FN,FN,FN,0,,FN,FN,FN,0
20,result_from_first_page_text_d20_arxiv_1905.10044.txt,BoolQ: Exploring the Surprising Difficulty of Natural Yes/No Questions,Tom Kwiatkowski,Google AI Language,tomkwiat@google.com,,TP,TP,TP,1,,TP,TP,TP,1,,FN,FN,FN,0,,FN,FN,FN,0
20,result_from_first_page_text_d20_arxiv_1905.10044.txt,BoolQ: Exploring the Surprising Difficulty of Natural Yes/No Questions,Michael Collins,Google AI Language,mjcollins@google.com,,TP,TP,TP,1,,TP,TP,TP,1,,FN,FN,FN,0,,FN,FN,FN,0
20,result_from_first_page_text_d20_arxiv_1905.10044.txt,BoolQ: Exploring the Surprising Difficulty of Natural Yes/No Questions,Kristina Toutanova,Google AI Language,kristout@google.com,,TP,TP,TP,1,,TP,TP,TP,1,,FN,FN,FN,0,,FN,FN,FN,0
22,result_from_first_page_text_d22_arxiv_1907.10641.txt,WINOGRANDE: An Adversarial Winograd Schema Challenge at Scale,Keisuke Sakaguchi,Allen Institute for Artificial Intelligence,keisukes@allenai.org,TP,TP,TP,TP,1,TP,TP,TP,TP,1,TP,TP,TP,TP,1,TP,TP,TP,FN,1
22,result_from_first_page_text_d22_arxiv_1907.10641.txt,WINOGRANDE: An Adversarial Winograd Schema Challenge at Scale,Ronan Le Bras,Allen Institute for Artificial Intelligence,ronanlb@allenai.org,,TP,TP,TP,1,,TP,TP,TP,1,,TP,TP,TP,1,,TP,TP,FN,1
22,result_from_first_page_text_d22_arxiv_1907.10641.txt,WINOGRANDE: An Adversarial Winograd Schema Challenge at Scale,Chandra Bhagavatula,Allen Institute for Artificial Intelligence,chandrab@allenai.org,,TP,TP,TP,1,,TP,TP,TP,1,,TP,TP,TP,1,,TP,TP,FN,1
22,result_from_first_page_text_d22_arxiv_1907.10641.txt,WINOGRANDE: An Adversarial Winograd Schema Challenge at Scale,Yejin Choi,Allen Institute for Artificial Intelligence; University of Washington,yejinc@allenai.org,,TP,TP,TP,1,,TP,TP,TP,1,,TP,TP,TP,1,,TP,TP,FN,1
23,result_from_first_page_text_d23_arxiv_1907.11692.txt,RoBERTa: A Robustly Optimized BERT Pretraining Approach,Yinhan Liu,Facebook AI,yinhanliu@fb.com,TP,TP,TP,TP,1,TP,TP,TP,TP,1,TP,TP,TP,TP,1,TP,TP,TP,TP,1
23,result_from_first_page_text_d23_arxiv_1907.11692.txt,RoBERTa: A Robustly Optimized BERT Pretraining Approach,Myle Ott,Facebook AI,myleott@fb.com,,TP,TP,TP,1,,TP,TP,TP,1,,TP,TP,TP,1,,TP,TP,TP,1
23,result_from_first_page_text_d23_arxiv_1907.11692.txt,RoBERTa: A Robustly Optimized BERT Pretraining Approach,Naman Goyal,Facebook AI,naman@fb.com,,TP,TP,TP,1,,TP,TP,TP,1,,TP,TP,TP,1,,TP,TP,TP,1
23,result_from_first_page_text_d23_arxiv_1907.11692.txt,RoBERTa: A Robustly Optimized BERT Pretraining Approach,Jingfei Du,Facebook AI,jingfeidu@fb.com,,TP,TP,TP,1,,TP,TP,TP,1,,TP,TP,TP,1,,TP,TP,TP,1
23,result_from_first_page_text_d23_arxiv_1907.11692.txt,RoBERTa: A Robustly Optimized BERT Pretraining Approach,Mandar Joshi,"Paul G. Allen School of Computer Science & Engineering, University of Washington",mandar90@cs.washington.edu,,TP,TP,TP,1,,TP,TP,FN,1,,TP,TP,TP,1,,TP,TP,TP,1
23,result_from_first_page_text_d23_arxiv_1907.11692.txt,RoBERTa: A Robustly Optimized BERT Pretraining Approach,Danqi Chen,Facebook AI,danqi@fb.com,,TP,TP,TP,1,,TP,TP,TP,1,,TP,TP,TP,1,,TP,TP,TP,1
23,result_from_first_page_text_d23_arxiv_1907.11692.txt,RoBERTa: A Robustly Optimized BERT Pretraining Approach,Omer Levy,Facebook AI,omerlevy@fb.com,,TP,TP,TP,1,,TP,TP,TP,1,,TP,TP,TP,1,,TP,TP,TP,1
23,result_from_first_page_text_d23_arxiv_1907.11692.txt,RoBERTa: A Robustly Optimized BERT Pretraining Approach,Mike Lewis,Facebook AI,mikelewis@fb.com,,TP,TP,TP,1,,TP,TP,TP,1,,TP,TP,TP,1,,TP,TP,TP,1
23,result_from_first_page_text_d23_arxiv_1907.11692.txt,RoBERTa: A Robustly Optimized BERT Pretraining Approach,Luke Zettlemoyer,"Paul G. Allen School of Computer Science & Engineering, University of Washington; Facebook AI",lsz@cs.washington.edu,,TP,TP,TP,1,,TP,TP,TP,1,,TP,TP,TP,1,,TP,TP,TP,1
23,result_from_first_page_text_d23_arxiv_1907.11692.txt,RoBERTa: A Robustly Optimized BERT Pretraining Approach,Veselin Stoyanov,Facebook AI,ves@fb.com,,TP,TP,TP,1,,TP,TP,FN,1,,TP,TP,TP,1,,TP,TP,TP,1
24,result_from_first_page_text_d24_arxiv_1908.04913.txt,"FairFace: Face Attribute Dataset for Balanced Race, Gender, and Age",Kimmo Kärkkäinen,UCLA,kimmo@cs.ucla.edu,TP,TP,TP,TP,1,TP,FP,TP,TP,1,FN,FN,FN,FN,0,TP,FP,TP,TP,1
24,result_from_first_page_text_d24_arxiv_1908.04913.txt,"FairFace: Face Attribute Dataset for Balanced Race, Gender, and Age",Jungseock Joo,UCLA,jjoo@comm.ucla.edu,,TP,TP,TP,1,,TP,TP,TP,1,,FN,FN,FN,0,,TP,TP,TP,1
25,result_from_first_page_text_d25_arxiv_1908.08962.txt,WELL-READ STUDENTS LEARN BETTER: ON THE IMPORTANCE OF PRE-TRAINING COMPACT MODELS,Iulia Turc,Google Research,iuliaturc@google.com,TP,TP,TP,TP,1,TP,TP,TP,TP,1,FN,FN,FN,FN,1,TP,TP,TP,TP,1
25,result_from_first_page_text_d25_arxiv_1908.08962.txt,WELL-READ STUDENTS LEARN BETTER: ON THE IMPORTANCE OF PRE-TRAINING COMPACT MODELS,Ming-Wei Chang,Google Research,mingweichang@google.com,,TP,TP,TP,1,,TP,TP,TP,1,,FN,FN,FN,1,,TP,TP,TP,1
25,result_from_first_page_text_d25_arxiv_1908.08962.txt,WELL-READ STUDENTS LEARN BETTER: ON THE IMPORTANCE OF PRE-TRAINING COMPACT MODELS,Kenton Lee,Google Research,kentonl@google.com,,TP,TP,TP,1,,TP,TP,TP,1,,FN,FN,FN,1,,TP,TP,TP,1
25,result_from_first_page_text_d25_arxiv_1908.08962.txt,WELL-READ STUDENTS LEARN BETTER: ON THE IMPORTANCE OF PRE-TRAINING COMPACT MODELS,Kristina Toutanova,Google Research,kristout@google.com,,TP,TP,TP,1,,TP,TP,TP,1,,FN,FN,FN,1,,TP,TP,TP,1
27,result_from_first_page_text_d27_arxiv_1910.01108.txt,"DistilBERT, a distilled version of BERT: smaller, faster, cheaper and lighter",Victor Sanh,Hugging Face,victor@huggingface.co,TP,TP,TP,TP,1,TP,TP,FP,FP,1,TP,TP,TP,TP,1,TP,TP,TP,TP,1
27,result_from_first_page_text_d27_arxiv_1910.01108.txt,"DistilBERT, a distilled version of BERT: smaller, faster, cheaper and lighter",Lysandre Debut,Hugging Face,lysandre@huggingface.co,,TP,TP,TP,1,,TP,FP,FP,1,,TP,TP,TP,1,,TP,TP,TP,1
27,result_from_first_page_text_d27_arxiv_1910.01108.txt,"DistilBERT, a distilled version of BERT: smaller, faster, cheaper and lighter",Julien Chaumond,Hugging Face,julien@huggingface.co,,TP,TP,TP,1,,TP,FP,FP,1,,TP,TP,TP,1,,TP,TP,TP,1
27,result_from_first_page_text_d27_arxiv_1910.01108.txt,"DistilBERT, a distilled version of BERT: smaller, faster, cheaper and lighter",Thomas Wolf,Hugging Face,thomas@huggingface.co,,TP,TP,TP,1,,TP,FP,FP,1,,TP,TP,TP,1,,TP,TP,TP,1
28,result_from_first_page_text_d28_arxiv_1910.09700.txt,Quantifying the Carbon Emissions of Machine Learning,Alexandre Lacoste,Element AI,allac@elementai.com,TP,TP,TP,TP,1,TP,TP,TP,TP,1,TP,TP,TP,TP,1,TP,TP,TP,TP,1
28,result_from_first_page_text_d28_arxiv_1910.09700.txt,Quantifying the Carbon Emissions of Machine Learning,Alexandra Luccioni,"Mila, Université de Montréal",luccionis@mila.quebec,,TP,TP,TP,1,,TP,TP,TP,1,,TP,TP,TP,1,,TP,TP,TP,1
28,result_from_first_page_text_d28_arxiv_1910.09700.txt,Quantifying the Carbon Emissions of Machine Learning,Victor Schmidt,"Mila, Université de Montréal",schmidtv@mila.quebec,,TP,TP,TP,1,,TP,TP,TP,1,,TP,TP,TP,1,,TP,TP,TP,1
28,result_from_first_page_text_d28_arxiv_1910.09700.txt,Quantifying the Carbon Emissions of Machine Learning,Thomas Dandres,"Polytechnique Montréal, CIRAIG",thomas.dandres@polymtl.ca,,TP,TP,TP,1,,TP,TP,TP,1,,TP,TP,TP,1,,TP,TP,TP,1
29,result_from_first_page_text_d29_arxiv_1910.10683.txt,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer,Colin Raffel,"Google, Mountain View, CA, USA",craffel@gmail.com,TP,TP,TP,TP,1,TP,TP,TP,TP,1,TP,TP,TP,TP,1,TP,TP,TP,TP,1
