d_index,filename,title,name,affiliations,email,Phi,,,,,Mistral,,,,,Llama,,,,,Gemma,,,,
33,result_from_first_page_text_d33_arxiv_2005.14165.txt,Language Models are Few-Shot Learners,Rewon Child,OpenAI,NA,,TP,TP,TN,1,,TP,TP,TN,1,,FN,FN,TN,0,,TP,TP,TN,1
33,result_from_first_page_text_d33_arxiv_2005.14165.txt,Language Models are Few-Shot Learners,Aditya Ramesh,OpenAI,NA,,TP,TP,TN,1,,TP,TP,TN,1,,FN,FN,TN,0,,TP,TP,TN,1
33,result_from_first_page_text_d33_arxiv_2005.14165.txt,Language Models are Few-Shot Learners,Daniel M. Ziegler,OpenAI,NA,,TP,TP,TN,1,,TP,TP,TN,1,,FN,FN,TN,0,,TP,TP,TN,1
33,result_from_first_page_text_d33_arxiv_2005.14165.txt,Language Models are Few-Shot Learners,Jeffrey Wu,OpenAI,NA,,TP,TP,TN,1,,TP,TP,TN,1,,FN,FN,TN,0,,TP,TP,TN,1
33,result_from_first_page_text_d33_arxiv_2005.14165.txt,Language Models are Few-Shot Learners,Clemens Winter,OpenAI,NA,,TP,TP,TN,1,,TP,TP,TN,1,,FN,FN,TN,0,,TP,TP,TN,1
33,result_from_first_page_text_d33_arxiv_2005.14165.txt,Language Models are Few-Shot Learners,Christopher Hesse,OpenAI,NA,,TP,TP,TN,1,,TP,TP,TN,1,,FN,FN,TN,0,,TP,TP,TN,1
33,result_from_first_page_text_d33_arxiv_2005.14165.txt,Language Models are Few-Shot Learners,Mark Chen,OpenAI,NA,,TP,TP,TN,1,,TP,TP,TN,1,,FN,FN,TN,0,,TP,TP,TN,1
33,result_from_first_page_text_d33_arxiv_2005.14165.txt,Language Models are Few-Shot Learners,Eric Sigler,OpenAI,NA,,TP,TP,TN,1,,TP,TP,TN,1,,FN,FN,TN,0,,TP,TP,TN,1
33,result_from_first_page_text_d33_arxiv_2005.14165.txt,Language Models are Few-Shot Learners,Mateusz Litwin,OpenAI,NA,,TP,TP,TN,1,,TP,TP,TN,1,,FN,FN,TN,0,,TP,TP,TN,1
33,result_from_first_page_text_d33_arxiv_2005.14165.txt,Language Models are Few-Shot Learners,Scott Gray,OpenAI,NA,,TP,TP,TN,1,,TP,TP,TN,1,,FN,FN,TN,0,,TP,TP,TN,1
33,result_from_first_page_text_d33_arxiv_2005.14165.txt,Language Models are Few-Shot Learners,Benjamin Chess,OpenAI,NA,,TP,TP,TN,1,,TP,TP,TN,1,,FN,FN,TN,0,,TP,TP,TN,1
33,result_from_first_page_text_d33_arxiv_2005.14165.txt,Language Models are Few-Shot Learners,Jack Clark,OpenAI,NA,,TP,TP,TN,1,,TP,TP,TN,1,,FN,FN,TN,0,,TP,TP,TN,1
33,result_from_first_page_text_d33_arxiv_2005.14165.txt,Language Models are Few-Shot Learners,Christopher Berner,OpenAI,NA,,TP,TP,TN,1,,TP,TP,TN,1,,FN,FN,TN,0,,TP,TP,TN,1
33,result_from_first_page_text_d33_arxiv_2005.14165.txt,Language Models are Few-Shot Learners,Sam McCandlish,OpenAI,NA,,TP,TP,TN,1,,TP,TP,TN,1,,FN,FN,TN,0,,TP,TP,TN,1
33,result_from_first_page_text_d33_arxiv_2005.14165.txt,Language Models are Few-Shot Learners,Alec Radford,OpenAI,NA,,TP,TP,TN,1,,TP,TP,TN,1,,FN,FN,TN,0,,TP,TP,TN,1
33,result_from_first_page_text_d33_arxiv_2005.14165.txt,Language Models are Few-Shot Learners,Ilya Sutskever,OpenAI,NA,,TP,TP,TN,1,,TP,TP,TN,1,,FN,FN,TN,0,,TP,TP,TN,1
33,result_from_first_page_text_d33_arxiv_2005.14165.txt,Language Models are Few-Shot Learners,Dario Amodei,OpenAI,NA,,TP,TP,TN,1,,TP,TP,TN,1,,FN,FN,TN,0,,TP,TP,TN,1
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Mark Chen,OpenAI,mark@openai.com,FN,TP,TP,TP,1,TP,TP,TP,TN,1,TP,TP,TP,TP,1,FP,TP,TP,TN,1
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Jerry Tworek,OpenAI,jt@openai.com,,TP,TP,TP,1,,TP,TP,TN,1,,TP,TP,TP,1,,TP,TP,TN,1
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Heewoo Jun,OpenAI,heewoo@openai.com,,TP,TP,TP,1,,TP,TP,TN,1,,TP,TP,TP,1,,TP,TP,TN,1
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Qiming Yuan,OpenAI,qiming@openai.com,,TP,TP,TP,1,,TP,TP,TN,1,,TP,TP,TP,1,,TP,TP,TN,1
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Henrique Ponde de Oliveira Pinto,OpenAI,NA,,TP,TP,TN,1,,FN,FN,TN,0,,TP,TP,TN,1,,TP,TP,TN,1
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Jared Kaplan,Anthropic AI,NA,,TP,TP,TN,1,,FN,FN,TN,0,,TP,TP,TN,1,,TP,TP,TN,1
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Harri Edwards,OpenAI,NA,,TP,TP,TN,1,,FN,FN,TN,0,,TP,TP,TN,1,,TP,TP,TN,1
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Yuri Burda,OpenAI,NA,,TP,TP,TN,1,,FN,FN,TN,0,,TP,TP,TN,1,,TP,TP,TN,1
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Nicholas Joseph,OpenAI,NA,,TP,TP,TN,1,,TP,FN,TN,X,,TP,TP,TN,1,,TP,TP,TN,1
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Greg Brockman,OpenAI,NA,,TP,TP,TN,1,,TP,FN,TN,X,,TP,TP,TN,1,,TP,TP,TN,1
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Alex Ray,OpenAI,NA,,TP,TP,TN,1,,TP,FN,TN,X,,TP,TP,TN,1,,TP,TP,TN,1
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Raul Puri,OpenAI,NA,,TP,TP,TN,1,,TP,FN,TN,X,,TP,TP,TN,1,,TP,TP,TN,1
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Gretchen Krueger,OpenAI,NA,,TP,TP,TN,1,,TP,FN,TN,X,,TP,TP,TN,1,,TP,TP,TN,1
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Michael Petrov,OpenAI,NA,,TP,TP,TN,1,,TP,FN,TN,X,,TP,TP,TN,1,,TP,TP,TN,1
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Heidy Khlaaf,OpenAI,NA,,TP,TP,TN,1,,TP,FN,TN,X,,TP,TP,TN,1,,TP,TP,TN,1
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Girish Sastry,OpenAI,NA,,TP,TP,TN,1,,TP,FN,TN,X,,TP,TP,TN,1,,TP,TP,TN,1
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Pamela Mishkin,OpenAI,NA,,TP,TP,TN,1,,TP,FN,TN,X,,TP,TP,TN,1,,TP,TP,TN,1
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Brooke Chan,OpenAI,NA,,TP,TP,TN,1,,TP,FN,TN,X,,TP,TP,TN,1,,TP,TP,TN,1
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Scott Gray,OpenAI,NA,,TP,TP,TN,1,,TP,FN,TN,X,,TP,TP,TN,1,,TP,TP,TN,1
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Nick Ryder,OpenAI,NA,,FN,FN,TN,0,,TP,FN,TN,X,,TP,TP,TN,1,,FN,FN,TN,0
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Mikhail Pavlov,OpenAI,NA,,FN,FN,TN,0,,TP,FN,TN,X,,TP,TP,TN,1,,FN,FN,TN,0
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Alethea Power,OpenAI,NA,,FN,FN,TN,0,,FN,FN,TN,0,,TP,TP,TN,1,,FN,FN,TN,0
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Lukasz Kaiser,OpenAI,NA,,FN,FN,TN,0,,FN,FN,TN,0,,TP,TP,TN,1,,FN,FN,TN,0
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Mohammad Bavarian,OpenAI,NA,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Clemens Winter,OpenAI,NA,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Philippe Tillet,OpenAI,NA,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Felipe Petroski Such,OpenAI,NA,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Dave Cummings,OpenAI,NA,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Matthias Plappert,OpenAI,NA,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Fotios Chantzis,OpenAI,NA,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Elizabeth Barnes,OpenAI,NA,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Ariel Herbert-Voss,OpenAI,NA,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,William Hebgen Guss,OpenAI,NA,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Alex Nichol,OpenAI,NA,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Alex Paino,OpenAI,NA,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Nikolas Tezak,OpenAI,NA,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Jie Tang,OpenAI,NA,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Igor Babuschkin,OpenAI,NA,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Suchir Balaji,OpenAI,NA,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Shantanu Jain,OpenAI,NA,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,William Saunders,OpenAI,NA,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Christopher Hesse,OpenAI,NA,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Andrew N. Carr,OpenAI,NA,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Jan Leike,OpenAI,NA,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Josh Achiam,OpenAI,NA,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Vedant Misra,OpenAI,NA,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Evan Morikawa,OpenAI,NA,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Alec Radford,OpenAI,NA,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Matthew Knight,OpenAI,NA,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Miles Brundage,OpenAI,NA,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Mira Murati,OpenAI,NA,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Katie Mayer,OpenAI,NA,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Peter Welinder,OpenAI,NA,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Bob McGrew,OpenAI,NA,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Dario Amodei,OpenAI,NA,,TP,TP,TN,X,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Sam McCandlish,OpenAI,NA,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Ilya Sutskever,OpenAI,NA,,TP,TP,TN,0,,FN,FN,TN,0,,FN,FN,TN,0,,TP,TP,TN,X
46,result_from_first_page_text_d46_arxiv_2107.03374.txt,Evaluating Large Language Models Trained on Code,Wojciech Zaremba,OpenAI,NA,,FN,FN,TN,0,,FN,FN,TN,0,,FN,FN,TN,0,,TP,TP,TN,X
,,,,,,,FP,FP,TN,0,,FP,FP,TN,0,,FP,FP,TN,0,,FP,FP,TN,0
,,,,,,,FP,FP,TN,0,,,,,,,FP,FP,TN,0,,,,,
,,,,,,,,,,,,FP,FP,TN,0,,FP,FP,TN,0,,,,,
63,result_from_first_page_text_d63_arxiv_2206.04615.txt,Beyond the Imitation Game: Quantifying and Extrapolating the Capabilities of Language Models,Aarohi Srivastava,NA,NA,TP,FN,FN,TN,0,FP,FP,FP,FP,0,TP,FP,FP,TN,X,TP,TP,TN,TN,1
63,result_from_first_page_text_d63_arxiv_2206.04615.txt,Beyond the Imitation Game: Quantifying and Extrapolating the Capabilities of Language Models,Abhinav Rastogi,NA,NA,,FN,FN,TN,0,,FP,FP,FP,0,,FP,FP,TN,X,,TP,TN,TN,1
63,result_from_first_page_text_d63_arxiv_2206.04615.txt,Beyond the Imitation Game: Quantifying and Extrapolating the Capabilities of Language Models,Abhishek Rao,NA,NA,,FN,FN,TN,0,,FN,TN,TN,0,,FP,FP,TN,X,,TP,TN,TN,1
63,result_from_first_page_text_d63_arxiv_2206.04615.txt,Beyond the Imitation Game: Quantifying and Extrapolating the Capabilities of Language Models,Abu Awal Md Shoeb,NA,NA,,FN,FN,TN,0,,FN,TN,TN,0,,FP,FP,TN,X,,TP,TN,TN,1
63,result_from_first_page_text_d63_arxiv_2206.04615.txt,Beyond the Imitation Game: Quantifying and Extrapolating the Capabilities of Language Models,Abubakar Abid,NA,NA,,FN,FN,TN,0,,FN,TN,TN,0,,FP,FP,TN,X,,TP,TN,TN,1
63,result_from_first_page_text_d63_arxiv_2206.04615.txt,Beyond the Imitation Game: Quantifying and Extrapolating the Capabilities of Language Models,Adam Fisch,NA,NA,,FN,FN,TN,0,,FN,TN,TN,0,,FP,FP,TN,X,,TP,TN,TN,1
63,result_from_first_page_text_d63_arxiv_2206.04615.txt,Beyond the Imitation Game: Quantifying and Extrapolating the Capabilities of Language Models,Adam R. Brown,NA,NA,,FN,FN,TN,0,,FN,TN,TN,0,,FP,FP,TN,X,,TP,TN,TN,1
63,result_from_first_page_text_d63_arxiv_2206.04615.txt,Beyond the Imitation Game: Quantifying and Extrapolating the Capabilities of Language Models,Adam Santoro,NA,NA,,FN,FN,TN,0,,FN,TN,TN,0,,FP,FP,TN,X,,TP,TN,TN,1
63,result_from_first_page_text_d63_arxiv_2206.04615.txt,Beyond the Imitation Game: Quantifying and Extrapolating the Capabilities of Language Models,Aditya Gupta,NA,NA,,FN,FN,TN,0,,FN,TN,TN,0,,FP,FP,TN,X,,TP,TN,TN,1
63,result_from_first_page_text_d63_arxiv_2206.04615.txt,Beyond the Imitation Game: Quantifying and Extrapolating the Capabilities of Language Models,Adrià Garriga-Alonso,NA,NA,,FN,FN,TN,0,,FN,TN,TN,0,,FP,FP,TN,X,,TP,TN,TN,1
63,result_from_first_page_text_d63_arxiv_2206.04615.txt,Beyond the Imitation Game: Quantifying and Extrapolating the Capabilities of Language Models,Agnieszka Kluska,NA,NA,,FN,FN,TN,0,,FN,TN,TN,0,,FP,FP,TN,X,,TP,TN,TN,1
63,result_from_first_page_text_d63_arxiv_2206.04615.txt,Beyond the Imitation Game: Quantifying and Extrapolating the Capabilities of Language Models,Aitor Lewkowycz,NA,NA,,FN,FN,TN,0,,FN,TN,TN,0,,FP,FP,TN,X,,TP,TN,TN,1
63,result_from_first_page_text_d63_arxiv_2206.04615.txt,Beyond the Imitation Game: Quantifying and Extrapolating the Capabilities of Language Models,Akshat Agarwal,NA,NA,,FN,FN,TN,0,,FN,TN,TN,0,,FP,FP,TN,X,,TP,TN,TN,1
63,result_from_first_page_text_d63_arxiv_2206.04615.txt,Beyond the Imitation Game: Quantifying and Extrapolating the Capabilities of Language Models,Alethea Power,NA,NA,,FN,FN,TN,0,,FN,TN,TN,0,,FP,FP,TN,X,,TP,TN,TN,1
63,result_from_first_page_text_d63_arxiv_2206.04615.txt,Beyond the Imitation Game: Quantifying and Extrapolating the Capabilities of Language Models,Alex Ray,NA,NA,,FN,FN,TN,0,,FN,TN,TN,0,,FP,FP,TN,X,,TP,TN,TN,1
63,result_from_first_page_text_d63_arxiv_2206.04615.txt,Beyond the Imitation Game: Quantifying and Extrapolating the Capabilities of Language Models,Alex Warstadt,NA,NA,,FN,FN,TN,0,,FN,TN,TN,0,,FP,FP,TN,X,,TP,TN,TN,1
63,result_from_first_page_text_d63_arxiv_2206.04615.txt,Beyond the Imitation Game: Quantifying and Extrapolating the Capabilities of Language Models,Alexander W. Kocurek,NA,NA,,FN,FN,TN,0,,FN,TN,TN,0,,FP,FP,TN,X,,TP,TN,TN,1
63,result_from_first_page_text_d63_arxiv_2206.04615.txt,Beyond the Imitation Game: Quantifying and Extrapolating the Capabilities of Language Models,Ali Safaya,NA,NA,,FN,FN,TN,0,,FN,TN,TN,0,,FP,FP,TN,X,,TP,TN,TN,1
63,result_from_first_page_text_d63_arxiv_2206.04615.txt,Beyond the Imitation Game: Quantifying and Extrapolating the Capabilities of Language Models,Ali Tazarv,NA,NA,,FN,FN,TN,0,,FN,TN,TN,0,,FP,FP,TN,X,,TP,TN,TN,1
63,result_from_first_page_text_d63_arxiv_2206.04615.txt,Beyond the Imitation Game: Quantifying and Extrapolating the Capabilities of Language Models,Alice Xiang,NA,NA,,FN,FN,TN,0,,FN,TN,TN,0,,FP,FP,TN,X,,TP,TN,TN,1
63,result_from_first_page_text_d63_arxiv_2206.04615.txt,Beyond the Imitation Game: Quantifying and Extrapolating the Capabilities of Language Models,Alicia Parrish,NA,NA,,FN,FN,TN,0,,FN,TN,TN,0,,FP,FP,TN,X,,TP,TN,TN,1
63,result_from_first_page_text_d63_arxiv_2206.04615.txt,Beyond the Imitation Game: Quantifying and Extrapolating the Capabilities of Language Models,Allen Nie,NA,NA,,FN,FN,TN,0,,FN,TN,TN,0,,FP,FP,TN,X,,TP,TN,TN,1
63,result_from_first_page_text_d63_arxiv_2206.04615.txt,Beyond the Imitation Game: Quantifying and Extrapolating the Capabilities of Language Models,Aman Hussain,NA,NA,,FN,FN,TN,0,,FN,TN,TN,0,,FP,FP,TN,X,,TP,TN,TN,1
63,result_from_first_page_text_d63_arxiv_2206.04615.txt,Beyond the Imitation Game: Quantifying and Extrapolating the Capabilities of Language Models,Amanda Askell,NA,NA,,FN,FN,TN,0,,FN,TN,TN,0,,FP,FP,TN,X,,TP,TN,TN,1
63,result_from_first_page_text_d63_arxiv_2206.04615.txt,Beyond the Imitation Game: Quantifying and Extrapolating the Capabilities of Language Models,Amanda Dsouza,NA,NA,,FN,FN,TN,0,,FN,TN,TN,0,,FP,FP,TN,X,,FP,TN,TN,1
63,result_from_first_page_text_d63_arxiv_2206.04615.txt,Beyond the Imitation Game: Quantifying and Extrapolating the Capabilities of Language Models,Ambrose Slone,NA,NA,,FN,FN,TN,0,,FN,TN,TN,0,,FP,FP,TN,X,,TN,TN,TN,0
63,result_from_first_page_text_d63_arxiv_2206.04615.txt,Beyond the Imitation Game: Quantifying and Extrapolating the Capabilities of Language Models,Ameet Rahane,NA,NA,,FN,FN,TN,0,,FN,TN,TN,0,,FP,FP,TN,X,,TN,TN,TN,0
63,result_from_first_page_text_d63_arxiv_2206.04615.txt,Beyond the Imitation Game: Quantifying and Extrapolating the Capabilities of Language Models,Anantharaman S. Iyer,NA,NA,,FN,FN,TN,0,,FN,TN,TN,0,,FP,FP,TN,X,,TN,TN,TN,0
